x,y,date_single
354020.1421099381,581959.4864042454,23/12/2015
354336.22346021025,581868.5887643015,23/12/2015
345499.40571420034,588168.5045292673,23/12/2015
349674.24383725703,570236.5377926925,23/12/2015
359774.41790366016,573992.2989479668,23/12/2015
357434.78153676563,585416.8407232312,23/12/2015
360838.5055623643,565660.5109885122,23/12/2015
353137.12162625825,591131.5312053058,23/12/2015
353143.5370990274,590916.644755493,23/12/2015
358624.44629706856,576857.0711234423,23/12/2015
353320.59544028173,567100.1221530411,23/12/2015
361798.95908196113,566281.1014413332,23/12/2015
353829.65204472037,578707.1950610272,23/12/2015
355787.02864401205,593075.85287924,23/12/2015
357781.3300490858,556269.3618280946,23/12/2015
362376.5134234387,564906.4479166118,23/12/2015
353899.99838998663,583886.410945593,23/12/2015
353282.8322995065,567559.4611679531,23/12/2015
356161.0480609534,566767.5420007302,23/12/2015
351351.01513039705,588172.8538609834,23/12/2015
359972.88220358157,564006.4110432446,23/12/2015
351926.7423029171,576783.9211376177,23/12/2015
354879.35709693795,580300.475826621,23/12/2015
359637.8928429827,572187.839623578,23/12/2015
347202.0160721412,585684.0912988267,23/12/2015
352971.3179279791,566950.7987492342,23/12/2015
361827.8985405252,566079.0834206986,23/12/2015
359512.28490360104,568643.5982930358,23/12/2015
349557.858479568,588814.4648718303,23/12/2015
356258.59856572485,579213.4740834443,23/12/2015
353779.3534693703,591863.0382629352,23/12/2015
355823.9529185506,585941.9556223943,23/12/2015
355272.27235431655,591921.6088917778,23/12/2015
348543.1819918222,579283.008090012,23/12/2015
354175.903904934,565874.8606661776,24/12/2015
359248.0241803269,568451.3534614338,24/12/2015
360257.26002829836,557776.5541441664,24/12/2015
353795.1554296519,591964.5718959266,24/12/2015
359236.1485872981,557398.0630456925,24/12/2015
354780.93376262527,594718.7433285553,24/12/2015
347322.41699304373,579023.6555020936,24/12/2015
357852.09200356,567624.0763954697,24/12/2015
359543.1272995776,561387.2522572463,24/12/2015
345689.03345558577,567691.7224348466,24/12/2015
347948.17885761533,584546.013026045,24/12/2015
353033.2029361236,580772.8859714902,24/12/2015
353405.036589881,582193.5459326769,24/12/2015
345219.6206345859,591044.0070103466,24/12/2015
351977.04524306254,572682.5441953341,24/12/2015
353790.5867783925,571930.5688201275,24/12/2015
346325.10339657473,587734.5398207642,24/12/2015
362337.5264607225,566316.4319573516,24/12/2015
354990.88357481686,565281.0617512068,24/12/2015
353617.14062810707,579104.1305001962,24/12/2015
359710.7485406011,558947.0274044394,24/12/2015
358970.3690886894,559008.5425284309,24/12/2015
350524.38229216106,583579.1670828692,24/12/2015
364476.8972104709,565891.8712388494,24/12/2015
356913.2867272082,569769.2727125149,24/12/2015
350853.82201874605,578615.2439510205,24/12/2015
359155.9799044198,568533.5640315665,24/12/2015
348180.78290811414,587012.7858787335,24/12/2015
351064.7757500188,583402.4173005471,24/12/2015
357790.8469310822,565387.1024091927,24/12/2015
356607.59057981684,558546.2055093397,24/12/2015
351728.9463193565,572776.3763050026,24/12/2015
349739.19565948634,579164.1903224323,24/12/2015
352041.31904829654,569277.0568213094,24/12/2015
347395.61741806817,581905.5121306073,24/12/2015
359187.0812961782,565810.1588340164,24/12/2015
364793.86719234823,565181.7377926426,24/12/2015
361679.7508251107,568069.0533777795,24/12/2015
357721.94458082545,555038.5365982619,24/12/2015
351026.3366956923,585533.5703333811,24/12/2015
356265.55119194614,559889.7115078497,24/12/2015
351733.83194011415,589393.5855180884,24/12/2015
349669.07610142726,566781.5946677806,24/12/2015
350486.6012119613,582274.8765692835,24/12/2015
350568.291364327,579160.1422200517,25/12/2015
349504.1524090079,583765.3754570344,25/12/2015
347986.26539380907,579338.2147232627,25/12/2015
346378.42704731383,592843.9151887451,25/12/2015
355859.926053759,570408.7444330247,25/12/2015
347558.3433270048,583119.8630323758,25/12/2015
346678.6865967224,587761.0687001861,25/12/2015
362337.51000420144,566318.3200971002,25/12/2015
352586.06365645514,571494.7391606226,25/12/2015
356834.3641466035,563004.2443309048,25/12/2015
357846.8892361867,582469.0807233446,25/12/2015
359657.73963829956,568238.2762353201,25/12/2015
351269.2743699986,581789.0756715367,25/12/2015
364705.472969136,555150.4099174893,25/12/2015
353629.9931734148,566899.8386017125,25/12/2015
356834.3641466035,563004.2443309048,25/12/2015
356614.25538649363,583057.3152856015,25/12/2015
350371.3106446957,574484.1954234192,25/12/2015
360965.9182979528,564674.4733665853,25/12/2015
357968.8058728638,575579.334313022,26/12/2015
356455.2061952498,570791.855394841,26/12/2015
348961.68312866846,578861.4583375009,26/12/2015
359765.2810711042,560613.0298118056,26/12/2015
350492.03696444375,588236.229511236,26/12/2015
358075.1751701754,556478.9954529346,26/12/2015
352262.9238476232,571934.5508036274,26/12/2015
352262.9238476232,571934.5508036274,26/12/2015
362005.55731581815,565778.8296580149,26/12/2015
345141.3088128545,591057.5039292489,26/12/2015
364362.34657165123,562954.2184119464,26/12/2015
349610.8603686294,583570.6268006943,26/12/2015
355248.1787193893,566921.4878384385,26/12/2015
353826.85629807727,571329.8207150544,26/12/2015
359938.7149786728,566336.9134608628,26/12/2015
358984.41771997657,568268.7876311546,26/12/2015
349838.230307931,575066.1421371121,26/12/2015
347873.83300097776,579653.6855982348,26/12/2015
344102.84592260775,589400.8446927386,26/12/2015
359629.3994026625,569303.250063832,26/12/2015
355431.3677515936,585931.3300295878,26/12/2015
346728.65278471884,577443.4928217584,26/12/2015
355123.5063364838,567723.4766922371,26/12/2015
356263.11114205595,566731.3566888466,26/12/2015
353837.5692945084,573831.291978822,26/12/2015
349558.12915349513,578906.0135946055,26/12/2015
345677.4477346705,586522.0747909712,26/12/2015
362450.9079545335,566598.1089499543,27/12/2015
355170.1596533557,584133.2981077771,27/12/2015
363712.7728144341,564108.2581155724,27/12/2015
359114.2704497846,568430.2524947326,27/12/2015
360709.9214022007,559528.0043595694,27/12/2015
356654.53779292945,563534.8601910478,27/12/2015
355513.3476455256,562052.9818257665,27/12/2015
355700.47689826664,586385.7395931159,27/12/2015
352105.0908750349,583171.7038773696,27/12/2015
349150.04494747624,584783.1442144363,27/12/2015
345661.29446796014,583329.582651045,27/12/2015
344198.8364132296,588840.0696323739,27/12/2015
352825.26373798784,593449.4986574344,27/12/2015
356918.4646803272,577109.1608329996,27/12/2015
351253.45649631287,575553.7896282692,27/12/2015
359195.9641282439,565430.1356487253,27/12/2015
347518.0714328481,582305.4185878923,27/12/2015
